ID,model,engine_power,age_in_days,km,previous_owners,lat,lon,price
1,lounge,51,882,25000,1,44.9072418212891,8.61155986785889,8900
2,pop,51,1186,32500,1,45.6663589477539,12.2418899536133,8800
3,sport,74,4658,142228,1,45.5032997131348,11.4178400039673,4200
4,lounge,51,2739,160000,1,40.633171081543,17.6346092224121,6000
5,pop,73,3074,106880,1,41.9032211303711,12.4956502914429,5700
6,pop,74,3623,70225,1,45.0007019042969,7.68227005004883,7900
7,lounge,51,731,11600,1,44.9072418212891,8.61155986785889,10750
8,lounge,51,1521,49076,1,41.9032211303711,12.4956502914429,9190
9,sport,73,4049,76000,1,45.5480003356934,11.5494699478149,5600
10,sport,51,3653,89000,1,45.4383010864258,10.9917001724243,6000
11,pop,51,790,43286,1,40.8714294433594,14.4389600753784,8950
12,lounge,51,366,17500,1,45.0696792602539,7.70491981506348,10990
13,lounge,51,456,18450,1,45.426570892334,11.7881298065186,9700
14,pop,51,3835,120000,1,40.5315895080566,17.4361591339111,4800
15,lounge,51,1035,40500,1,40.9113616943359,14.211199760437,9300
16,lounge,51,1096,28200,1,45.697208404541,9.84597015380859,9500
17,lounge,73,4200,110000,1,41.0823516845703,14.2542495727539,5250
18,pop,51,2223,96848,1,43.7823715209961,11.2549896240234,7990
19,lounge,51,2861,31000,1,45.0696792602539,7.70491981506348,7300
20,lounge,51,425,20030,1,45.3543891906738,11.8692598342896,10500
21,lounge,51,397,19037,1,45.7072486877441,11.4776000976563,10500
22,lounge,51,1886,110000,1,40.8358116149902,14.5044097900391,6990
23,lounge,51,1035,8000,1,44.5060882568359,12.0441703796387,10600
24,lounge,51,790,27595,1,45.6882591247559,8.73145008087158,10200
25,lounge,51,1583,14900,1,45.0696792602539,7.70491981506348,9990
26,lounge,51,366,9218,1,45.4381103515625,12.3181495666504,10800
27,pop,51,3592,124000,1,40.966178894043,17.1164798736572,6800
28,sport,51,3531,100000,1,40.9764518737793,14.1722803115845,4950
29,lounge,51,762,28900,1,45.1316719055176,8.44917011260986,10640
30,lounge,51,670,4000,1,41.3497505187988,13.3533201217651,9500
31,lounge,62,2769,59216,1,43.7823715209961,11.2549896240234,6990
32,lounge,51,4169,99477,2,40.5505638122559,14.225625038147,5900
33,lounge,51,821,21730,2,41.9032211303711,12.4956502914429,10500
34,sport,51,3927,140000,2,40.7559318542481,14.6901903152466,5200
35,lounge,51,640,32033,2,44.283878326416,11.8881397247314,9790
36,pop,51,3653,138116,2,40.633171081543,17.6346092224121,5000
37,pop,51,852,17000,1,45.5051612854004,8.93910026550293,8990
38,pop,51,3013,58527,1,45.6882591247559,8.73145008087158,7200
39,sport,51,790,43100,1,45.3340797424316,11.3768701553345,9950
40,pop,51,1858,13373,1,41.9032211303711,12.4956502914429,9000
41,sport,51,4139,119000,1,45.3493194580078,7.74259996414185,4890
42,pop,51,609,28500,1,45.746021270752,9.04996967315674,10900
43,pop,51,1096,83000,1,41.9597206115723,12.7980556488037,7900
44,lounge,73,4049,98000,1,38.2181282043457,15.2402400970459,5999
45,lounge,51,456,12693,1,45.3936004638672,10.4822397232056,10900
46,lounge,51,762,14586,1,42.341968536377,12.3584899902344,10500
47,lounge,51,821,27640,1,41.9032211303711,12.4956502914429,10400
48,lounge,51,2039,49000,1,41.9032211303711,12.4956502914429,7500
49,sport,51,3684,160000,1,45.4054718017578,10.2782897949219,4900
50,sport,51,4596,107000,1,40.8459014892578,14.369270324707,4300
51,lounge,51,2192,66000,1,40.8401412963867,14.2522602081299,6999
52,sport,51,790,35000,1,45.3340797424316,11.3768701553345,10200
53,pop,51,1186,24651,1,41.9032211303711,12.4956502914429,9300
54,sport,62,3288,71900,1,41.0624008178711,14.2738800048828,5990
55,lounge,51,701,11200,1,46.1764984130859,9.90367031097412,10600
56,lounge,51,3288,124050,1,43.8699798583984,10.3398303985596,5500
57,pop,51,1066,69395,1,45.2314109802246,9.5928897857666,7450
58,lounge,51,456,17961,1,45.3936004638672,10.4822397232056,10900
59,lounge,51,670,18669,1,45.0007019042969,7.68227005004883,10990
60,pop,51,1431,22700,1,41.9032211303711,12.4956502914429,8900
61,lounge,51,4169,56000,1,45.467960357666,9.1817798614502,5900
62,lounge,51,701,22669,1,45.0696792602539,7.70491981506348,9500
63,pop,73,2557,50000,1,42.1578788757324,11.9022798538208,8250
64,lounge,51,2343,39743,1,45.6952285766602,9.66950988769531,8800
65,lounge,51,456,27466,1,45.3936004638672,10.4822397232056,9800
66,lounge,51,548,22609,1,45.6958312988281,9.18039035797119,9900
67,pop,51,1461,94485,1,44.5088386535645,11.4690799713135,7450
68,sport,51,4261,188000,1,41.0624008178711,14.2738800048828,4490
69,lounge,51,2343,94000,1,45.4381103515625,12.3181495666504,7400
70,pop,51,2192,60786,1,43.9381217956543,10.912579536438,7900
71,pop,51,1096,41950,1,41.6695098876953,12.5022296905518,10700
72,lounge,51,456,16971,1,45.3936004638672,10.4822397232056,10900
73,lounge,51,4108,45300,1,41.299560546875,13.0325899124146,7400
74,lounge,51,4108,45300,1,41.299560546875,13.0325899124146,7400
75,lounge,51,3227,75359,1,45.0696792602539,7.70491981506348,7800
76,lounge,51,366,12585,1,45.0696792602539,7.70491981506348,9900
77,pop,62,2101,103000,1,45.7978591918945,8.64443969726563,7900
78,sport,51,2739,77149,3,44.7548904418945,8.03190040588379,7800
79,lounge,51,456,13587,3,45.3936004638672,10.4822397232056,10900
80,lounge,51,1797,55595,3,45.7669792175293,11.7384004592896,7800
81,lounge,51,397,17250,3,45.0696792602539,7.70491981506348,10050
82,sport,51,4292,145000,3,41.0624008178711,14.2738800048828,4799
83,lounge,51,790,20849,1,41.9032211303711,12.4956502914429,8100
84,lounge,51,3988,107375,1,41.3765602111816,14.0762996673584,5800
85,pop,63,2009,100000,1,45.3181800842285,9.10569000244141,7500
86,lounge,51,456,17841,1,45.3936004638672,10.4822397232056,10900
87,lounge,51,762,44778,1,45.5712203979492,9.15913963317871,9390
88,pop,51,3258,78681,1,45.6792793273926,9.23719024658203,7490
89,pop,51,4474,123000,1,40.633171081543,17.6346092224121,4900
90,lounge,51,397,17912,1,41.832649230957,12.7525997161865,9970
91,lounge,51,1066,69916,1,41.8029899597168,12.5989303588867,8980
92,lounge,51,2647,97700,1,44.5088386535645,11.4690799713135,7450
93,pop,51,366,11500,1,45.7072486877441,11.4776000976563,9500
94,lounge,51,397,17250,1,45.467960357666,9.1817798614502,10050
95,lounge,51,366,12372,1,38.9144401550293,16.5843601226807,10465
96,sport,51,4292,165600,1,44.7154083251953,11.3083000183105,5950
97,pop,51,1066,28000,1,41.7690505981445,12.6628103256226,8500
98,sport,51,2009,86000,2,40.633171081543,17.6346092224121,7800
99,lounge,51,456,18592,2,45.3936004638672,10.4822397232056,10900
100,pop,51,731,41558,2,45.5712203979492,9.15913963317871,8790
101,pop,51,4018,96000,2,44.2943000793457,9.67444038391113,5700
102,lounge,51,701,19000,1,41.2641105651855,13.7449903488159,10000
103,lounge,51,397,18183,1,41.832649230957,12.7525997161865,9970
104,lounge,51,1066,69916,1,41.8029899597168,12.5989303588867,8980
105,pop,51,2647,75500,1,44.5088386535645,11.4690799713135,7500
106,pop,51,1827,39500,1,45.6734008789063,9.92689037322998,9800
107,lounge,51,397,17250,1,41.9032211303711,12.4956502914429,10050
108,pop,51,3835,128000,1,45.7646484375,8.99450016021729,4900
109,pop,51,366,12929,1,45.5565490722656,9.53446960449219,9400
110,lounge,51,3562,113254,2,44.3058204650879,8.48363971710205,6100
111,lounge,51,366,18000,1,41.2641105651855,13.7449903488159,10700
112,lounge,51,397,16643,1,41.832649230957,12.7525997161865,9970
113,lounge,51,2892,92300,1,43.8820686340332,11.1003503799438,7500
114,lounge,51,640,34873,1,40.8588981628418,14.3571901321411,9500
115,sport,51,4018,102000,1,41.3578491210938,13.4246301651001,6500
116,lounge,51,397,16135,1,45.3577690124512,9.61221027374268,10650
117,lounge,51,3865,95350,1,41.9032211303711,12.4956502914429,5500
118,lounge,51,425,19909,1,45.7207183837891,7.32143020629883,10950
119,lounge,51,425,16518,1,44.3999710083008,8.27449989318848,11000
120,pop,62,3135,113000,1,45.4381103515625,12.3181495666504,5800
121,pop,51,1096,50000,1,40.9216690063477,14.1962699890137,9500
122,pop,62,3013,120000,1,45.0696792602539,7.70491981506348,4900
123,lounge,51,3227,105000,1,45.6848793029785,9.71790981292725,6500
124,lounge,51,2831,104000,1,45.9649314880371,12.6445302963257,6000
125,pop,51,2831,56779,4,41.9032211303711,12.4956502914429,7500
126,lounge,51,397,17590,1,41.832649230957,12.7525997161865,9970
127,pop,51,1127,7772,1,41.0698509216309,15.0589895248413,9000
128,lounge,51,2861,85000,1,45.6095314025879,10.2085695266724,7700
129,lounge,51,3623,75900,1,43.7823715209961,11.2549896240234,6300
130,lounge,51,1127,21400,1,44.3325309753418,7.54591989517212,9500
131,lounge,51,4292,112400,1,45.7061004638672,11.8073701858521,5000
132,lounge,51,366,18590,1,40.3958892822266,18.1297798156738,10900
133,sport,51,3988,175000,1,45.701229095459,8.81299018859863,4800
134,lounge,51,701,22700,1,45.7768898010254,9.30615997314453,10250
135,pop,51,1096,50000,1,40.9216690063477,14.1962699890137,9500
136,lounge,62,3470,110000,1,40.8358116149902,14.5044097900391,4990
137,pop,51,1400,49000,1,45.6068916320801,9.30661964416504,8200
138,lounge,51,790,34012,1,45.4387893676758,10.7642402648926,10550
139,lounge,51,1155,53589,1,45.2314109802246,9.5928897857666,8950
140,lounge,51,397,14431,1,41.832649230957,12.7525997161865,9970
141,lounge,51,2953,80000,1,45.5840911865234,9.27095985412598,6900
142,lounge,51,4169,81900,2,45.4432716369629,10.2302103042603,4900
143,lounge,51,3074,124100,2,45.5249786376953,9.52213954925537,6700
144,pop,51,1827,46000,1,45.6629295349121,11.6024303436279,7800
145,lounge,74,4230,176000,1,42.9204406738281,13.833550453186,4990
146,lounge,51,366,13124,1,45.7207183837891,7.32143020629883,10950
147,lounge,51,4018,152900,1,43.0675315856934,12.551549911499,5500
148,lounge,51,762,15917,1,40.930850982666,14.5285997390747,9900
149,sport,51,4383,74000,1,43.5206985473633,13.2380800247192,6900
150,lounge,51,456,13215,1,39.2912216186523,16.252513885498,9490
151,lounge,51,366,14732,1,45.7407417297363,12.2326698303223,9950
152,lounge,51,2892,67000,1,45.6748390197754,9.68785953521729,7900
153,lounge,51,790,39916,1,40.7522087097168,14.4534101486206,10279
154,lounge,51,397,13600,1,41.9032211303711,12.4956502914429,9970
155,lounge,51,701,21580,1,41.1258697509766,16.8666591644287,11090
156,lounge,51,3500,106000,1,41.2729301452637,16.4184703826904,5600
157,lounge,51,1858,35304,1,45.6460990905762,10.4991598129272,8000
158,lounge,51,4018,174000,1,42.9204406738281,13.833550453186,5400
159,lounge,51,1886,51786,1,40.7841911315918,14.3696699142456,7990
160,lounge,51,456,56779,1,45.4381103515625,12.3181495666504,10800
161,lounge,51,3409,70000,1,41.9032211303711,12.4956502914429,5800
162,pop,51,3409,56779,1,42.453369140625,14.1403799057007,8700
163,lounge,51,397,16755,1,39.2912216186523,16.252513885498,9490
164,pop,51,701,48268,1,45.5840911865234,9.27095985412598,9000
165,pop,51,3531,97000,1,45.6748390197754,9.68785953521729,6500
166,lounge,51,790,39916,1,41.9032211303711,12.4956502914429,10280
167,pop,51,3804,114000,1,45.6069717407227,9.62922954559326,4500
168,lounge,51,397,15341,1,45.3577690124512,9.61221027374268,10950
169,lounge,51,3531,83000,1,40.633171081543,17.6346092224121,5900
170,pop,51,2496,57200,1,41.9032211303711,12.4956502914429,7900
171,lounge,51,2892,96685,1,40.6955604553223,14.4808502197266,5900
172,lounge,51,366,17272,1,38.1220703125,13.361120223999,11000
173,sport,51,4077,124000,1,41.1520614624024,15.0830898284912,4250
174,lounge,51,731,24700,1,41.9032211303711,12.4956502914429,9450
175,pop,51,578,5000,1,40.8401412963867,14.2522602081299,8900
176,lounge,51,456,19133,1,45.3936004638672,10.4822397232056,10900
177,lounge,51,456,11998,1,39.2912216186523,16.252513885498,9590
178,pop,51,790,39461,1,40.9264907836914,14.4764204025269,10800
179,lounge,51,1066,1232,1,45.467960357666,9.1817798614502,9900
180,lounge,51,790,39916,1,41.8029899597168,12.5989303588867,10280
181,lounge,51,1308,23500,1,43.8170204162598,10.6828498840332,9800
182,lounge,51,397,14991,1,45.3577690124512,9.61221027374268,10950
183,lounge,51,2496,104000,1,40.4653701782227,17.2505397796631,6900
184,lounge,51,3378,132000,2,45.6952285766602,9.66950988769531,4800
185,lounge,51,548,20000,1,45.4635009765625,9.91314029693604,9600
186,lounge,51,487,18337,1,39.3317604064941,16.1813297271729,10500
187,pop,51,1400,25282,1,45.0696792602539,7.70491981506348,8200
188,lounge,51,4322,117000,1,45.3297996520996,10.1267995834351,5399
189,lounge,51,3197,160403,1,41.3578491210938,13.4246301651001,5500
190,lounge,51,1431,81900,1,44.138370513916,12.2388200759888,10000
191,lounge,51,821,19000,1,44.9887390136719,9.01049995422363,9990
192,pop,51,670,45000,1,41.9032211303711,12.4956502914429,10670
193,lounge,51,670,38000,1,45.5459785461426,12.1605596542358,8900
194,pop,51,4353,76000,1,45.8516616821289,9.39186954498291,5500
195,lounge,51,3227,142000,1,44.2943000793457,9.67444038391113,4900
196,lounge,51,517,9150,1,44.4117584228516,12.2040596008301,10600
197,pop,51,1552,52026,1,45.0696792602539,7.70491981506348,6900
198,lounge,51,2282,145150,2,45.3868408203125,11.7908897399902,6800
199,lounge,51,397,19783,2,38.1220703125,13.361120223999,11000
200,lounge,51,3743,105610,2,37.7278785705566,12.8874702453613,4900
201,lounge,51,1035,18000,1,41.9032211303711,12.4956502914429,10990
202,lounge,51,1461,54000,1,38.1220703125,13.361120223999,10000
203,pop,51,852,10400,1,45.7907485961914,8.74691963195801,10400
204,lounge,51,762,22000,1,44.9887390136719,9.01049995422363,9790
205,lounge,51,4505,102502,1,45.0696792602539,7.70491981506348,5700
206,lounge,51,366,10000,1,45.5459785461426,12.1605596542358,10990
207,lounge,51,4292,124000,1,41.9032211303711,12.4956502914429,5300
208,lounge,51,397,14284,1,45.3577690124512,9.61221027374268,10850
209,pop,62,1917,37900,1,45.7787818908691,11.840539932251,7600
210,pop,51,2588,88000,1,43.8820686340332,11.1003503799438,5500
211,lounge,51,456,13600,1,45.7372703552246,11.3897895812988,10400
212,pop,51,2557,52000,1,40.696720123291,14.5191602706909,6900
213,lounge,51,1247,27464,1,45.6169586181641,9.42228031158447,8200
214,lounge,51,425,23212,1,45.3543891906738,11.8692598342896,10500
215,sport,51,3592,99180,1,43.6233291625977,11.4635400772095,6700
216,lounge,51,701,25000,1,44.9887390136719,9.01049995422363,9790
217,lounge,51,1247,39600,1,41.9032211303711,12.4956502914429,8500
218,lounge,51,3044,132000,1,37.8167304992676,12.8687200546265,7900
219,pop,51,790,48000,1,45.3814582824707,9.15548992156982,8500
220,lounge,51,4018,118000,2,44.0631294250488,12.4470100402832,5100
221,lounge,51,3927,121000,2,41.9032211303711,12.4956502914429,4500
222,lounge,51,2131,59753,1,44.434009552002,10.4065399169922,6900
223,lounge,51,1886,56500,1,45.467960357666,9.1817798614502,8500
224,lounge,51,397,18019,1,38.1220703125,13.361120223999,11000
225,lounge,51,3712,108000,1,45.5604095458984,8.05978012084961,6600
226,sport,73,3896,120000,1,44.2943000793457,9.67444038391113,5100
227,lounge,51,3896,120000,1,44.1118583679199,9.95886039733887,5900
228,lounge,51,425,18233,1,45.3543891906738,11.8692598342896,10500
229,lounge,51,456,10062,1,45.8147506713867,8.83012962341309,10700
230,pop,51,701,16000,1,44.9887390136719,9.01049995422363,9190
231,lounge,51,1370,64658,1,45.7542495727539,9.3127498626709,9435
232,lounge,51,670,25000,1,45.0788993835449,9.30230045318604,10500
233,sport,51,2466,113000,1,46.7920188903809,11.9803199768066,6600
234,pop,62,3258,84740,1,45.3355216979981,11.7858400344849,6900
235,pop,51,2374,81600,1,43.9381217956543,10.912579536438,7600
236,lounge,51,762,8500,1,44.6925201416016,10.1039600372314,10800
237,lounge,51,366,14089,1,42.5628318786621,12.6422004699707,10900
238,lounge,51,2374,90000,1,44.283878326416,11.8881397247314,7900
239,pop,51,1583,38000,1,41.9032211303711,12.4956502914429,8900
240,lounge,51,821,13500,1,41.9032211303711,12.4956502914429,10300
241,lounge,51,397,13105,1,45.3543891906738,11.8692598342896,10500
242,lounge,51,670,33608,1,43.0675315856934,12.551549911499,10900
243,pop,51,3288,90000,1,43.9126091003418,12.9056100845337,6900
244,lounge,51,821,32150,1,45.5125694274902,10.3290100097656,9950
245,lounge,51,4018,68000,1,45.0788993835449,9.30230045318604,5800
246,lounge,51,2466,127000,1,44.138370513916,12.2388200759888,6300
247,lounge,51,762,13236,2,40.6955604553223,14.4808502197266,10300
248,lounge,51,366,20653,2,45.7072486877441,11.4776000976563,10500
249,lounge,51,366,10909,2,38.1220703125,13.361120223999,11000
250,lounge,51,425,15000,2,44.5520286560059,7.72581005096436,10950
251,lounge,51,1858,12000,2,40.8783912658691,14.1402902603149,10500
252,lounge,51,790,39162,2,45.467960357666,9.1817798614502,9990
253,lounge,51,790,27595,2,45.6882591247559,8.73145008087158,10200
254,lounge,51,790,23040,2,41.9032211303711,12.4956502914429,8000
255,lounge,51,397,12780,2,44.9072418212891,8.61155986785889,10500
256,lounge,51,790,30758,2,45.5125694274902,10.3290100097656,9950
257,pop,51,1127,50000,1,41.9032211303711,12.4956502914429,8250
258,pop,51,3439,125684,1,43.8798599243164,10.7828102111816,4390
259,pop,51,366,22148,1,45.6835289001465,11.9529495239258,9500
260,lounge,51,366,71200,1,44.0353317260742,10.1394901275635,8900
261,lounge,51,1127,44000,1,44.7014312744141,7.97208023071289,9500
262,lounge,51,425,18702,1,38.1220703125,13.361120223999,11000
263,pop,51,2131,40388,1,45.0127182006836,7.82158994674683,8390
264,lounge,73,4658,143000,1,45.0696792602539,7.70491981506348,4500
265,lounge,51,790,31650,1,45.6882591247559,8.73145008087158,10200
266,lounge,51,670,35000,1,41.9032211303711,12.4956502914429,10470
267,pop,62,1066,34464,1,43.7823715209961,11.2549896240234,7500
268,lounge,51,670,15214,1,37.6079483032227,12.9668502807617,10800
269,lounge,51,4383,135762,1,43.8798599243164,10.7828102111816,3390
